,state,county,biden_count,trump_count,total_count,dem20_pct,rep20_pct
59,WI,Sheboygan,27101,37609,65606,41.30872176325336,57.32554949242448
60,WI,Taylor,2693,7656,10462,25.74077614222902,73.1791244503919
61,WI,Trempealeau,6283,8828,15282,41.11372856955896,57.76730794398639
62,WI,Vernon,7457,8218,15857,47.02654978873684,51.82569212335246
63,WI,Vilas,5903,9261,15302,38.57665664619004,60.52150045745655
64,WI,Walworth,22783,33844,57268,39.7831249563456,59.09757630788574
65,WI,Washburn,3867,6332,10322,37.46366983142802,61.344700639410966
66,WI,Washington,26650,60237,87828,30.34339846062759,68.58518923350184
67,WI,Waukesha,103867,159633,266523,38.97112069127242,59.89464323904503
68,WI,Waupaca,9703,18952,29012,33.44478146973666,65.32469323038742
69,WI,Waushara,4388,9016,13519,32.45802204305052,66.69132332273097
70,WI,Winnebago,44060,47796,93485,47.13055570412366,51.126918757019844
71,WI,Wood,16360,24307,41069,39.83539896272127,59.18576054931943
0,MI,Alcona,2142,4848,7040,30.426136363636363,68.86363636363636
1,MI,Alger,2053,3014,5108,40.191855912294436,59.005481597494125
2,MI,Allegan,24447,41381,66771,36.61320034146561,61.97450989201899
3,MI,Alpena,6000,10686,16906,35.49035845262038,63.208328404116884
4,MI,Antrim,7289,9783,17269,42.2085818518733,56.65064566564364
5,MI,Arenac,2773,5928,8798,31.51852693794044,67.37894976130939
6,MI,Baraga,1478,2512,4021,36.75702561551853,62.47202188510321
7,MI,Barry,11804,23473,35756,33.01264123503748,65.64772345899989
8,MI,Bay,26653,33347,60695,43.913007661257105,54.94192272839607
9,MI,Benzie,5480,6600,12208,44.88859764089122,54.06290956749672
10,MI,Berrien,37438,43518,82018,45.64607769026311,53.0590845911873
11,MI,Branch,6161,14067,20444,30.135981216982977,68.80747407552337
12,MI,Calhoun,28417,35900,65230,43.56431089989269,55.03602636823548
13,MI,Cass,9122,16686,26094,34.958227945121486,63.94573465164406
14,MI,Charlevoix,6939,9841,16940,40.96221959858323,58.09327036599764
15,MI,Cheboygan,5435,10171,15800,34.39873417721519,64.37341772151899
16,MI,Chippewa,6651,10682,17566,37.86291699874758,60.810656950927935
17,MI,Clare,5200,10860,16221,32.05720978977868,66.95024967634548
18,MI,Clinton,21963,25095,47717,46.0276211832261,52.5913196554687
19,MI,Crawford,2612,4955,7634,34.21535237097197,64.9069950222688
20,MI,Delta,7605,13206,21060,36.11111111111111,62.706552706552706
21,MI,Dickinson,4569,8469,13204,34.60315056043623,64.13965465010602
22,MI,Eaton,31297,31797,63989,48.90996890090484,49.69135320133148
23,MI,Emmet,9662,12135,22081,43.75707621937413,54.95675014718536
24,MI,Genesee,120082,99199,221522,54.207708489450255,44.78065384025063
25,MI,Gladwin,4524,9893,14559,31.073562744694005,67.95109554227625
26,MI,Gogebic,3573,4600,8240,43.36165048543689,55.8252427184466
27,MI,Grand Traverse,28682,30502,59980,47.81927309103035,50.85361787262421
28,MI,Gratiot,6693,12102,19035,35.161544523246654,63.577620173364856
29,MI,Hillsdale,5883,17037,23181,25.37854277209784,73.49553513653423
