,state,county,votes_16,votes_clinton_16,votes_trump_16,votes_dem_12,votes_rep_12,dem16_pct,rep16_pct,dem12_pct,rep12_pct,margin_16
0,PA,Centre,75394,36555,35099,34176,34001,48.48529060667958,46.5541024484707,49.0851118834918,48.83376899434119,-1456
0,PA,Cameron,2024,469,1495,724,1359,23.17193675889328,73.86363636363636,34.29654192325911,64.37707247749881,1026
0,PA,Clinton,14839,4533,9701,5734,7303,30.547880584945077,65.3750252712447,43.226535996984545,55.05465510742555,5168
0,PA,Susquehanna,19200,5065,13295,6935,10800,26.380208333333332,69.24479166666667,38.4338284194192,59.853690977610285,8230
0,PA,Washington,96945,34436,58941,40345,53230,35.52117179844242,60.7983908401671,42.580474934036936,56.17941952506597,24505
0,PA,Elk,13854,3637,9704,5463,7579,26.25234589288292,70.04475241807421,41.26756307599335,57.251850732739086,6067
0,PA,Crawford,35563,10215,23912,13883,20901,28.723673480864942,67.23842195540308,39.23081270487171,59.06239403187521,13697
0,PA,Lebanon,58906,17860,38804,19900,35872,30.319492072114894,65.87444402947068,35.17143867090845,63.40049487451396,20944
0,PA,McKean,15572,3802,11159,5297,9545,24.41561777549448,71.66067300282558,35.06089489012444,63.17844850410379,7357
0,PA,Lehigh,153031,77087,70285,78283,66874,50.37345374466611,45.92860270141344,53.25301696575557,45.49189806941402,-6802
0,PA,Northampton,142775,65936,71384,67606,61446,46.18175450884258,49.9975485904395,51.712242322254944,47.00042069835927,5448
0,PA,Snyder,16333,3991,11710,4687,10073,24.4351925549501,71.6953407212392,31.242500999866685,67.14438074923343,7719
0,PA,Fayette,53426,17826,34388,21971,26018,33.36577696252761,64.36566465765732,45.2963611998763,53.63983094526338,16562
0,PA,Butler,92027,26834,61388,28550,59761,29.1588338205092,66.70651004596478,31.919056403376377,66.81312538431439,34554
0,PA,Chester,266637,140188,115582,124311,124840,52.576349118839474,43.34807247306263,49.335047802740775,49.544990931568066,-24606
0,PA,Somerset,35730,7367,27347,9436,23984,20.618527847746993,76.53792331374196,27.800365329090802,70.66171704672676,19980
0,PA,Potter,7777,1300,6247,1897,5231,16.715957310016716,80.32660408898032,26.194421430544047,72.23142778238055,4947
0,PA,Fulton,6743,904,5676,1310,4814,13.406495625092688,84.17618270799348,21.146085552865213,77.70782889426957,4772
0,PA,Carbon,28721,8917,18714,11580,13504,31.046969116674212,65.15789840186623,45.26797232320863,52.789179469137245,9797
0,PA,Westmoreland,181740,59506,116427,63722,103932,32.74237922306592,64.06239683063717,37.57813790012502,61.29077913806525,56921
0,PA,Blair,52029,13093,37224,16276,33319,25.164811931807265,71.54471544715447,32.39585199339185,66.31834557433172,24131
0,PA,Allegheny,643173,363017,257488,352687,262039,56.44157948172575,40.03401884096503,56.6947069593831,42.12297112433912,-105529
0,PA,Cumberland,115068,44282,65649,44367,64809,38.483331595230645,57.05235165293565,40.037359900373595,58.48448751962748,21367
